DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Crm Cd,Vict Age,Premis Desc,Crm Cd 1,LOCATION,Cross Street,LAT,LON
201810826,05-08-2020 0.00,05-08-2020 0.00,1830,18,Southeast,1838,230,42,STREET,230,105TH                        ST,GRAPE                        ST,33.9406,-118.2369
201508039,03/25/2020 12:00:00 AM,01/26/2020 12:00:00 AM,1531,15,N Hollywood,1504,354,37,WAREHOUSE,354,7200    LAUREL CANYON                BL,,34.2054,-118.3965
210506149,02/22/2021 12:00:00 AM,12/21/2020 12:00:00 AM,1200,5,Harbor,518,310,45,PUBLIC STORAGE,310,500 E  PACIFIC COAST                HY,,33.798,-118.2604
201319710,11-09-2020 0.00,11-08-2020 0.00,630,13,Newton,1313,740,0,OTHER BUSINESS,740,1600 S  CENTRAL                      AV,,34.0286,-118.2545
201510469,05/24/2020 12:00:00 AM,05/24/2020 12:00:00 AM,2010,15,N Hollywood,1535,310,0,RESTAURANT/FAST FOOD,310,5600    LANKERSHIM                   BL,,34.1722,-118.379
202009366,05-05-2020 0.00,05-05-2020 0.00,1600,20,Olympic,2044,420,0,STREET,420,800 S  KINGSLEY                     DR,,34.0577,-118.3031
201609763,06-08-2020 0.00,06-07-2020 0.00,140,16,Foothill,1656,310,0,CLOTHING STORE,310,7800    FOOTHILL                     BL,,34.2591,-118.3027
201909587,05-08-2020 0.00,05-08-2020 0.00,1930,19,Mission,1994,624,37,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",624,7900    BRIMFIELD                    AV,,34.2147,-118.4575
201910406,05/28/2020 12:00:00 AM,05/28/2020 12:00:00 AM,1600,19,Mission,1988,901,67,SINGLE FAMILY DWELLING,901,13600    BRANFORD                     ST,,34.2298,-118.4285
201310675,05-11-2020 0.00,05-06-2020 0.00,2200,13,Newton,1373,510,0,PARKING LOT,510,1000 E  53RD                         ST,,33.9943,-118.2581
201407845,03-06-2020 0.00,03-01-2020 0.00,1500,14,Pacific,1464,320,66,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",320,6000    SEABLUFF                     DR,,33.9738,-118.423
201409758,04/18/2020 12:00:00 AM,04-07-2020 0.00,1200,14,Pacific,1449,510,0,STREET,510,3900    MARCASEL                     AV,,34.0046,-118.4257
201512808,07/19/2020 12:00:00 AM,07/19/2020 12:00:00 AM,610,15,N Hollywood,1515,626,43,PARKING LOT,626,6900    SIMPSON                      AV,,34.1958,-118.389
201514093,08/18/2020 12:00:00 AM,08/18/2020 12:00:00 AM,1,15,N Hollywood,1549,510,0,STREET,510,5500    CAHUENGA                     BL,,34.17,-118.3616
201518253,12-03-2020 0.00,12-03-2020 0.00,339,15,N Hollywood,1535,740,22,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",740,11500    TIARA                        ST,,34.1785,-118.3817
201805230,01/23/2020 12:00:00 AM,01/23/2020 12:00:00 AM,700,18,Southeast,1841,761,22,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",761,10700 S  FIGUEROA                     ST,,33.9367,-118.2871
201706957,03-05-2020 0.00,02/18/2020 12:00:00 AM,1200,17,Devonshire,1705,354,56,SINGLE FAMILY DWELLING,354,17000    OROZCO                       ST,,34.3075,-118.5026
210706086,02/17/2021 12:00:00 AM,05/18/2020 12:00:00 AM,1600,7,Wilshire,725,354,42,OTHER RESIDENCE,354,100 S  VISTA                        ST,,34.0706,-118.3522
201506074,02-10-2020 0.00,02-10-2020 0.00,1,15,N Hollywood,1535,331,38,PARKING LOT,331,5600    FARMDALE                     AV,,34.1722,-118.381
201517635,11/17/2020 12:00:00 AM,11-12-2020 0.00,1357,15,N Hollywood,1513,956,19,ELEVATOR,956,VANSCOY                      AV,HART,34.1975,-118.4062
201506221,02/14/2020 12:00:00 AM,02/14/2020 12:00:00 AM,2200,15,N Hollywood,1538,623,23,GAS STATION,623,5900    VINELAND                     AV,,34.1758,-118.3746
201420578,11/19/2020 12:00:00 AM,11/18/2020 12:00:00 AM,1700,14,Pacific,1464,310,65,GARAGE/CARPORT,310,12700    AURORA                       PL,,33.975,-118.417
210604085,01-04-2021 0.00,12/30/2020 12:00:00 AM,1200,6,Hollywood,632,510,0,PARKING LOT,510,7900    SELMA                        AV,,34.0999,-118.3629
201317089,09/16/2020 12:00:00 AM,09/16/2020 12:00:00 AM,1800,13,Newton,1324,510,0,STREET,510,2300    HOOPER                       AV,,34.0203,-118.2506
201604279,01-07-2020 0.00,01-05-2020 0.00,1730,16,Foothill,1612,354,73,OTHER BUSINESS,354,13500    PAXTON                       ST,,34.2734,-118.4267
201420778,11/25/2020 12:00:00 AM,11/25/2020 12:00:00 AM,1235,14,Pacific,1466,860,54,BUS-CHARTER/PRIVATE,860,79TH,SEPULVEDA,33.975,-118.4002
